file,line,pattern,imagePath,context
"image-inventory.json",518,"path","frontend/public/icons/main6.webp","""relative_path"": ""frontend/public/icons/main6.webp"","
"image-inventory.json",526,"path","frontend/public/icons/main7.webp","""path"": ""frontend/public/icons/main7.webp"","
"image-inventory.json",527,"path","frontend/public/icons/main7.webp","""relative_path"": ""frontend/public/icons/main7.webp"","
"image-inventory.json",535,"path","frontend/public/icons/main8.webp","""path"": ""frontend/public/icons/main8.webp"","
"image-inventory.json",536,"path","frontend/public/icons/main8.webp","""relative_path"": ""frontend/public/icons/main8.webp"","
"image-inventory.json",544,"path","frontend/public/icons/main9.webp","""path"": ""frontend/public/icons/main9.webp"","
"image-inventory.json",545,"path","frontend/public/icons/main9.webp","""relative_path"": ""frontend/public/icons/main9.webp"","
"image-inventory.json",553,"path","frontend/public/icons/naver.svg","""path"": ""frontend/public/icons/naver.svg"","
"image-inventory.json",554,"path","frontend/public/icons/naver.svg","""relative_path"": ""frontend/public/icons/naver.svg"","
"image-inventory.json",562,"path","frontend/public/icons/naverpay.webp","""path"": ""frontend/public/icons/naverpay.webp"","
"image-inventory.json",563,"path","frontend/public/icons/naverpay.webp","""relative_path"": ""frontend/public/icons/naverpay.webp"","
"image-inventory.json",571,"path","frontend/public/icons/qr.webp","""path"": ""frontend/public/icons/qr.webp"","
"image-inventory.json",572,"path","frontend/public/icons/qr.webp","""relative_path"": ""frontend/public/icons/qr.webp"","
"image-inventory.json",580,"path","frontend/public/icons/tosspay.webp","""path"": ""frontend/public/icons/tosspay.webp"","
"image-inventory.json",581,"path","frontend/public/icons/tosspay.webp","""relative_path"": ""frontend/public/icons/tosspay.webp"","
"image-inventory.json",589,"path","frontend/public/icons/구호.webp","""path"": ""frontend/public/icons/구호.webp"","
"image-inventory.json",590,"path","frontend/public/icons/구호.webp","""relative_path"": ""frontend/public/icons/구호.webp"","
"image-inventory.json",598,"path","frontend/public/icons/꼼데가르송.webp","""path"": ""frontend/public/icons/꼼데가르송.webp"","
"image-inventory.json",599,"path","frontend/public/icons/꼼데가르송.webp","""relative_path"": ""frontend/public/icons/꼼데가르송.webp"","
"image-inventory.json",607,"path","frontend/public/icons/띠어리.webp","""path"": ""frontend/public/icons/띠어리.webp"","
"image-inventory.json",608,"path","frontend/public/icons/띠어리.webp","""relative_path"": ""frontend/public/icons/띠어리.webp"","
"image-inventory.json",616,"path","frontend/public/icons/비이커.webp","""path"": ""frontend/public/icons/비이커.webp"","
"image-inventory.json",617,"path","frontend/public/icons/비이커.webp","""relative_path"": ""frontend/public/icons/비이커.webp"","
"image-inventory.json",625,"path","frontend/public/icons/빈폴.webp","""path"": ""frontend/public/icons/빈폴.webp"","
"image-inventory.json",626,"path","frontend/public/icons/빈폴.webp","""relative_path"": ""frontend/public/icons/빈폴.webp"","
"image-inventory.json",634,"path","frontend/public/icons/에잇세컨드.webp","""path"": ""frontend/public/icons/에잇세컨드.webp"","
"image-inventory.json",635,"path","frontend/public/icons/에잇세컨드.webp","""relative_path"": ""frontend/public/icons/에잇세컨드.webp"","
"image-inventory.json",643,"path","frontend/public/icons/이세이미야케.webp","""path"": ""frontend/public/icons/이세이미야케.webp"","
"image-inventory.json",644,"path","frontend/public/icons/이세이미야케.webp","""relative_path"": ""frontend/public/icons/이세이미야케.webp"","
"image-inventory.json",652,"path","frontend/public/icons/코스.webp","""path"": ""frontend/public/icons/코스.webp"","
"image-inventory.json",653,"path","frontend/public/icons/코스.webp","""relative_path"": ""frontend/public/icons/코스.webp"","
"image-inventory.json",661,"path","frontend/public/icons/파타고니아.webp","""path"": ""frontend/public/icons/파타고니아.webp"","
"image-inventory.json",662,"path","frontend/public/icons/파타고니아.webp","""relative_path"": ""frontend/public/icons/파타고니아.webp"","
"image-inventory.json",670,"path","frontend/public/images/1010207927.webp","""path"": ""frontend/public/images/1010207927.webp"","
"image-inventory.json",671,"path","frontend/public/images/1010207927.webp","""relative_path"": ""frontend/public/images/1010207927.webp"","
"image-inventory.json",679,"path","frontend/public/images/1119019333.webp","""path"": ""frontend/public/images/1119019333.webp"","
"image-inventory.json",680,"path","frontend/public/images/1119019333.webp","""relative_path"": ""frontend/public/images/1119019333.webp"","
"image-inventory.json",688,"path","frontend/public/images/1176900044.webp","""path"": ""frontend/public/images/1176900044.webp"","
"image-inventory.json",689,"path","frontend/public/images/1176900044.webp","""relative_path"": ""frontend/public/images/1176900044.webp"","
"image-inventory.json",697,"path","frontend/public/images/1202455836.webp","""path"": ""frontend/public/images/1202455836.webp"","
"image-inventory.json",698,"path","frontend/public/images/1202455836.webp","""relative_path"": ""frontend/public/images/1202455836.webp"","
"image-inventory.json",706,"path","frontend/public/images/133835897.webp","""path"": ""frontend/public/images/133835897.webp"","
"image-inventory.json",707,"path","frontend/public/images/133835897.webp","""relative_path"": ""frontend/public/images/133835897.webp"","
"image-inventory.json",715,"path","frontend/public/images/1491953271.webp","""path"": ""frontend/public/images/1491953271.webp"","
"image-inventory.json",716,"path","frontend/public/images/1491953271.webp","""relative_path"": ""frontend/public/images/1491953271.webp"","
"image-inventory.json",724,"path","frontend/public/images/1642450336.webp","""path"": ""frontend/public/images/1642450336.webp"","
"image-inventory.json",725,"path","frontend/public/images/1642450336.webp","""relative_path"": ""frontend/public/images/1642450336.webp"","
"image-inventory.json",733,"path","frontend/public/images/216419883.webp","""path"": ""frontend/public/images/216419883.webp"","
"image-inventory.json",734,"path","frontend/public/images/216419883.webp","""relative_path"": ""frontend/public/images/216419883.webp"","
"image-inventory.json",742,"path","frontend/public/images/3086143679.webp","""path"": ""frontend/public/images/3086143679.webp"","
"image-inventory.json",743,"path","frontend/public/images/3086143679.webp","""relative_path"": ""frontend/public/images/3086143679.webp"","
"image-inventory.json",751,"path","frontend/public/images/3206396286.webp","""path"": ""frontend/public/images/3206396286.webp"","
"image-inventory.json",752,"path","frontend/public/images/3206396286.webp","""relative_path"": ""frontend/public/images/3206396286.webp"","
"image-inventory.json",760,"path","frontend/public/images/3207359177.webp","""path"": ""frontend/public/images/3207359177.webp"","
"image-inventory.json",761,"path","frontend/public/images/3207359177.webp","""relative_path"": ""frontend/public/images/3207359177.webp"","
"image-inventory.json",769,"path","frontend/public/images/3362617750.webp","""path"": ""frontend/public/images/3362617750.webp"","
"image-inventory.json",770,"path","frontend/public/images/3362617750.webp","""relative_path"": ""frontend/public/images/3362617750.webp"","
"image-inventory.json",778,"path","frontend/public/images/357450008.webp","""path"": ""frontend/public/images/357450008.webp"","
"image-inventory.json",779,"path","frontend/public/images/357450008.webp","""relative_path"": ""frontend/public/images/357450008.webp"","
"image-inventory.json",787,"path","frontend/public/images/3635466172.webp","""path"": ""frontend/public/images/3635466172.webp"","
"image-inventory.json",788,"path","frontend/public/images/3635466172.webp","""relative_path"": ""frontend/public/images/3635466172.webp"","
"image-inventory.json",796,"path","frontend/public/images/3793950654.webp","""path"": ""frontend/public/images/3793950654.webp"","
"image-inventory.json",797,"path","frontend/public/images/3793950654.webp","""relative_path"": ""frontend/public/images/3793950654.webp"","
"image-inventory.json",805,"path","frontend/public/images/3826030000.webp","""path"": ""frontend/public/images/3826030000.webp"","
"image-inventory.json",806,"path","frontend/public/images/3826030000.webp","""relative_path"": ""frontend/public/images/3826030000.webp"","
"image-inventory.json",814,"path","frontend/public/images/3859394708.webp","""path"": ""frontend/public/images/3859394708.webp"","
"image-inventory.json",815,"path","frontend/public/images/3859394708.webp","""relative_path"": ""frontend/public/images/3859394708.webp"","
"image-inventory.json",823,"path","frontend/public/images/521681749.webp","""path"": ""frontend/public/images/521681749.webp"","
"image-inventory.json",824,"path","frontend/public/images/521681749.webp","""relative_path"": ""frontend/public/images/521681749.webp"","
"image-inventory.json",832,"path","frontend/public/images/573690851.webp","""path"": ""frontend/public/images/573690851.webp"","
